Item Number,Partnumber,Manufacturer P/N,Manufacturer Name,Manufacturer Family,Part Type,Description,Comment,Value (Numeric),Value (Text),Quantity,Unit of Measure,Manufactured here,RoHS Status,Build Sequence,Revision Name,Revision Status,Revision Reason,Preferred Vendor,Standard Cost,Standard Cost Currency,Standard Lead Time,Standard Cost Minimum,Standard Cost Multiple,Standard Cost Comment
86,C-0620,C0603C681J3GACTU,Kemet,,Capacitor,CAP MLCC 680 pF 25V C0G 0603,"",6.8e-10,680p,1,each,false,true,"",A,Active,Initial Revision,"",0.073,USD,,,,
87,C-0790,C0402C821K3RACTU,Kemet,,Capacitor,CAP MLCC 820pF 25V  X7R 0402 10%,"",8.2e-10,820p,1,each,false,true,"",A,Active,Initial Revision,"",0.12,USD,,,,
88,C-0740,GRM1555C1H330FA01D,Murata Electronics,,Capacitor,CAP CER 33pF 50V C0G 0402 1%,"",3.3e-11,33p,3,each,false,true,"",-,Active,"","",0.021,USD,,,,
89,J-0268,87832-1026,Molex,,Connector,MGRID HDR SHRD SMT /CAP 10CKT,"","","",1,each,false,true,"",A,Active,"","",,USD,,,,
90,J-0152,87832-1420,Molex,,Connector,CONN HEADER 14POS 2MM VERT SMD,"","","",1,each,false,true,"",A,Active,"","",,USD,,,,
91,J-0258,87832-1622,Molex,,Connector,CONN 16-PIN MGRID HDR SHRDSMT/SLOTPGCAP,87832-1622,"","",3,each,false,true,"",A,Active,"","",0.608,USD,,,,
92,J-0263,878322620,Molex,,Connector,CONN HEADER 26POS STR 2MM SMD AU,"","","",1,each,false,true,"",A,Active,"","",,USD,,,,
93,Q-0086,SI2304DDS-T1-GE3,Vishay Semiconductors,,Transistor,MOSFET N-CHANNEL 2.7A 30V SOT-23-3,"","","",9,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
94,U-0797,SOT23E4A-T-DC23D,TopLine,,IC,"IC, 0-ohm jumper, SOT-23, pins 2-3","","","",1,each,false,unknown,"",A,Active,"","",,USD,,,,
95,U-0376,SN74LVC1G97DBVR,Texas Instruments,,IC,IC CONFIG MULT-FUNC GATE SOT23-6,SN74LVC1G97DBVR,"","",20,each,false,true,"",A,Active,"","",,USD,,,,
96,J-0385,105310-1212,Molex,,Connector,CONN HEADER VERT 12POS 2.5MM,"","","",1,each,false,true,"",A,Active,Initial Release,"",1.84466,USD,,,,
97,U-0595,TPS659112A2NMAR,Texas Instruments,,IC,IC PMU 4DCDC/8LDO 98BGA,TPS659112A2ZRCR,"","",1,each,false,true,"",-,Active,"","",6.23,USD,,,,
98,L-0558,MAKK2016T3R3M,Taiyo Yuden,,Inductor,"Inductor, 3.3uH, 1.15A, 20%, 0806","",3.3,3.3,1,each,true,true,"",1,Active,"","",,USD,,,,
99,L-0555,NRS4018T3R3MDGJ,Taiyo Yuden,,Inductor,4018 3.3uH 66mOhms +/-20%Tol 2000mA,"",3.3e-06,3.3u,1,each,false,true,"",1,Active,"","",,USD,,,,
100,L-0557,XAL1010-822MED,Coilcraft,,Inductor,"Inductor, shielded, 8.2uH, 17.1A, 20% SMT 10x10x11.3mm","",8.2,8.2,1,each,true,true,"",1,Active,"","",,USD,,,,
101,U-0633,TPIC6B595DWR,Texas Instruments,,IC,IC PWR 8-BIT SHIFT REGIS 20-SOIC,TPIC6B595DWR,"","",1,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
